systematic_name,bp,mf
YDL148C,processing of 20S pre-rRNA,snoRNA binding
YLR129W,processing of 20S pre-rRNA,snoRNA binding
YOR254C,posttranslational protein-membrane targeting*,protein transporter activity
YDR023W,seryl-tRNA aminoacylation,serine-tRNA ligase activity
YLR020C,cell wall mannoprotein biosynthesis*,sterol esterase activity
YGR158C,35S primary transcript processing*,3'-5'-exoribonuclease activity
YER113C,biological process unknown,molecular function unknown
YLR372W,sphingolipid biosynthesis*,fatty acid elongase activity
YNR021W,biological process unknown,molecular function unknown
YOL003C,biological process unknown,molecular function unknown
YEL001C,biological process unknown,molecular function unknown
YKL004W,sphingolipid metabolism,inositol phosphoceramide synthase activity
YBR243C,protein amino acid N-linked glycosylation,UDP-N-acetylglucosamine-dolichyl-phosphate N-acetylglucosaminephosphotransferase activity
YHR045W,biological process unknown,molecular function unknown
YJR013W,GPI anchor biosynthesis,mannosyltransferase activity
YDR449C,processing of 20S pre-rRNA,snoRNA binding
YKR081C,ribosomal large subunit assembly and maintenance*,rRNA binding*
YOL077C,ribosomal large subunit assembly and maintenance,rRNA primary transcript binding*
YDR412W,rRNA processing,molecular function unknown
YML093W,processing of 20S pre-rRNA,snoRNA binding
YPL086C,regulation of transcription from RNA polymerase II promoter,RNA polymerase II transcription elongation factor activity*
YKL009W,rRNA processing*,molecular function unknown
YPL076W,GPI anchor biosynthesis,UDP-glycosyltransferase activity
YOR243C,tRNA modification*,pseudouridine synthase activity
YBR142W,rRNA processing*,ATP-dependent RNA helicase activity
YPL198W,protein biosynthesis,structural constituent of ribosome
YLR059C,RNA processing,3'-5' exonuclease activity
YER118C,pseudohyphal growth*,osmosensor activity
YDR414C,protein retention in ER,molecular function unknown
YBR034C,mRNA-nucleus export*,protein-arginine N-methyltransferase activity
YMR310C,biological process unknown,molecular function unknown
YNL132W,biological process unknown,molecular function unknown
YMR049C,rRNA processing,molecular function unknown
YBL039C,phospholipid biosynthesis*,CTP synthase activity
YMR290C,rRNA processing,RNA binding*
YDR144C,proteolysis and peptidolysis,aspartic-type signal peptidase activity
YLR293C,rRNA processing*,GTPase activity
YPR144C,processing of 20S pre-rRNA*,snoRNA binding
YGL120C,U2-type spliceosome dissembly,"RNA splicing factor activity, transesterification mechanism*"
YCR057C,35S primary transcript processing*,snoRNA binding
YPR010C,transcription from RNA polymerase I promoter,DNA-directed RNA polymerase activity
YDR398W,processing of 20S pre-rRNA,snoRNA binding
YOR272W,ribosomal large subunit biogenesis*,molecular function unknown
YBR247C,rRNA processing*,snoRNA binding
YEL042W,protein amino acid glycosylation,guanosine-diphosphatase activity*
YER156C,biological process unknown,molecular function unknown
YNL058C,biological process unknown,molecular function unknown
YFL034C-B,protein amino acid phosphorylation*,protein kinase activator activity
YMR312W,regulation of transcription from RNA polymerase II promoter,RNA polymerase II transcription elongation factor activity
YGL078C,35S primary transcript processing*,ATP-dependent RNA helicase activity
YGR227W,protein amino acid N-linked glycosylation*,dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity
YKR079C,removal of tRNA 3'-trailer sequence,purine nucleotide binding*
YDR440W,chromatin silencing at telomere*,protein-lysine N-methyltransferase activity
YNL152W,biological process unknown,phospholipid binding
YOR359W,protein-vacuolar targeting,RNA binding*
YPL279C,biological process unknown,molecular function unknown
YOR390W,biological process unknown,molecular function unknown
YDR165W,tRNA methylation,protein binding*
YOL014W,biological process unknown,molecular function unknown
YJR094W-A,protein biosynthesis,structural constituent of ribosome
YNL096C,protein biosynthesis,structural constituent of ribosome
YML009C,protein biosynthesis,structural constituent of ribosome
YBR091C,mitochondrial inner membrane protein import,protein transporter activity
YNL070W,mitochondrial matrix protein import*,protein transporter activity
YMR143W,protein biosynthesis,structural constituent of ribosome
YEL054C,protein biosynthesis*,structural constituent of ribosome
YLR448W,protein biosynthesis*,structural constituent of ribosome*
YLR061W,protein biosynthesis,structural constituent of ribosome
YER131W,protein biosynthesis,structural constituent of ribosome
YGL147C,protein biosynthesis,structural constituent of ribosome
YHL015W,protein biosynthesis,structural constituent of ribosome
YBL071W-A,peptidyl-diphthamide biosynthesis from peptidyl-histidine*,molecular function unknown
YFL034C-A,protein biosynthesis,structural constituent of ribosome
YMR123W,biological process unknown,molecular function unknown
YLR208W,ER to Golgi transport*,structural molecule activity
YGR148C,protein biosynthesis,structural constituent of ribosome*
YDL136W,protein biosynthesis,structural constituent of ribosome
YDL191W,protein biosynthesis,structural constituent of ribosome
YPL079W,protein biosynthesis,structural constituent of ribosome
YHR196W,processing of 20S pre-rRNA,snoRNA binding
YKL205W,tRNA-nucleus export*,tRNA binding*
YMR230W,protein biosynthesis,structural constituent of ribosome
YOR096W,protein biosynthesis,structural constituent of ribosome
YHR010W,protein biosynthesis,structural constituent of ribosome
YOR312C,protein biosynthesis,structural constituent of ribosome
YDL083C,protein biosynthesis,structural constituent of ribosome
YDR471W,protein biosynthesis,structural constituent of ribosome
YEL026W,"nuclear mRNA splicing, via spliceosome*",RNA binding
YLR367W,protein biosynthesis,structural constituent of ribosome
YBL087C,protein biosynthesis,structural constituent of ribosome
YER117W,protein biosynthesis,structural constituent of ribosome
YMR194W,protein biosynthesis,structural constituent of ribosome*
YPL037C,nascent polypeptide association,unfolded protein binding
YLR325C,protein biosynthesis,structural constituent of ribosome
YGL031C,protein biosynthesis,structural constituent of ribosome*
YLR197W,rRNA modification*,molecular function unknown
YLR406C,protein biosynthesis,structural constituent of ribosome
YDL075W,protein biosynthesis,structural constituent of ribosome
YOR167C,protein biosynthesis,structural constituent of ribosome
YLR264W,protein biosynthesis,structural constituent of ribosome
YML026C,protein biosynthesis,structural constituent of ribosome
YDR450W,protein biosynthesis,structural constituent of ribosome
YPL081W,protein biosynthesis*,structural constituent of ribosome
YGR195W,35S primary transcript processing*,3'-5'-exoribonuclease activity
YNL175C,biological process unknown,RNA binding
YML056C,biological process unknown,IMP dehydrogenase activity
YGR173W,biological process unknown,GTP binding
YLR186W,35S primary transcript processing*,snoRNA binding
YHR068W,hypusine biosynthesis from peptidyl-lysine,"transferase activity, transferring alkyl or aryl (other than methyl) groups"
YHR089C,rRNA modification*,RNA binding
YLR175W,rRNA modification*,pseudouridylate synthase activity
YMR093W,processing of 20S pre-rRNA,snoRNA binding
YBR291C,mitochondrial citrate transport,tricarboxylate carrier activity
YBR084C-A,protein biosynthesis,structural constituent of ribosome
YBL027W,protein biosynthesis,structural constituent of ribosome
YHR005C-A,mitochondrial inner membrane protein import,unfolded protein binding*
YNL131W,mitochondrial matrix protein import,protein transporter activity
YOL040C,protein biosynthesis*,structural constituent of ribosome
YHR203C,protein biosynthesis,structural constituent of ribosome
YJR145C,protein biosynthesis*,structural constituent of ribosome
YDL081C,translational elongation*,structural constituent of ribosome
YOR045W,mitochondrial matrix protein import,protein transporter activity
YPR102C,protein biosynthesis*,structural constituent of ribosome
YGR085C,protein biosynthesis*,structural constituent of ribosome
YER102W,protein biosynthesis,structural constituent of ribosome
YBR189W,protein biosynthesis*,structural constituent of ribosome
YDL082W,protein biosynthesis,structural constituent of ribosome
YCR031C,protein biosynthesis*,structural constituent of ribosome*
YOL120C,protein biosynthesis,structural constituent of ribosome
YNL301C,protein biosynthesis,structural constituent of ribosome
YOL010W,rRNA processing,molecular function unknown*
YGL076C,protein biosynthesis,structural constituent of ribosome
YOR310C,rRNA modification*,molecular function unknown
YDR025W,protein biosynthesis*,structural constituent of ribosome
YBR048W,protein biosynthesis*,structural constituent of ribosome
YIL103W,peptidyl-diphthamide biosynthesis from peptidyl-histidine,molecular function unknown
YOL124C,tRNA methylation,RNA binding*
YHR170W,ribosomal large subunit assembly and maintenance*,protein binding*
YMR242C,protein biosynthesis,structural constituent of ribosome
YLR344W,protein biosynthesis,structural constituent of ribosome*
YHL001W,protein biosynthesis,structural constituent of ribosome*
YKL006W,protein biosynthesis,structural constituent of ribosome*
YOL039W,translational elongation*,structural constituent of ribosome
YDL130W,translational elongation*,structural constituent of ribosome
YGR123C,protein amino acid dephosphorylation,protein serine/threonine phosphatase activity
YPL183C,biological process unknown,molecular function unknown
YLR146C,pantothenate biosynthesis*,spermine synthase activity
YGR034W,protein biosynthesis,structural constituent of ribosome*
YDR519W,biological process unknown,peptidyl-prolyl cis-trans isomerase activity
YBL072C,protein biosynthesis,structural constituent of ribosome
YPR110C,transcription from RNA polymerase I promoter*,DNA-directed RNA polymerase activity
YAR002C-A,ER to Golgi transport,molecular function unknown
YGL020C,mitochondrion organization and biogenesis,molecular function unknown
YDL212W,ER to Golgi transport*,unfolded protein binding
YKL130C,intracellular mRNA localization,mRNA binding
YGR215W,protein biosynthesis,structural constituent of ribosome
YMR286W,protein biosynthesis,structural constituent of ribosome
YER044C,ergosterol biosynthesis,"protein binding, bridging"
YOR309C,NA,NA
YFL048C,ER to Golgi transport,molecular function unknown
YDR084C,biological process unknown,molecular function unknown
YGR038W,response to unfolded protein,molecular function unknown
YDR100W,biological process unknown,molecular function unknown
YGR172C,ER to Golgi transport*,molecular function unknown
YJL097W,biological process unknown,molecular function unknown
YCR034W,vesicle-mediated transport*,fatty acid elongase activity
YHR123W,phosphatidylethanolamine biosynthesis,ethanolaminephosphotransferase activity
YGR036C,protein amino acid N-linked glycosylation*,pyrophosphatase activity
YBR029C,phosphatidylglycerol biosynthesis*,phosphatidate cytidylyltransferase activity
YLR459W,attachment of GPI anchor to protein,GPI-anchor transamidase activity
YOR002W,protein amino acid glycosylation*,"transferase activity, transferring hexosyl groups"
YDL015C,very-long-chain fatty acid metabolism,oxidoreductase activity
YMR243C,zinc ion homeostasis*,"di-, tri-valent inorganic cation transporter activity*"
YJR124C,biological process unknown,molecular function unknown
YJL062W,GPI anchor biosynthesis,transferase activity
YJL193W,biological process unknown,molecular function unknown
YOR067C,protein amino acid N-linked glycosylation*,"dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity"
YHR133C,biological process unknown,molecular function unknown
YOL097C,tryptophanyl-tRNA aminoacylation,tryptophan-tRNA ligase activity
YDL014W,rRNA modification*,methyltransferase activity
YNL151C,transcription from RNA polymerase III promoter,DNA-directed RNA polymerase activity
YHL033C,protein biosynthesis,structural constituent of ribosome
YFR031C-A,protein biosynthesis,structural constituent of ribosome
YIL018W,protein biosynthesis,structural constituent of ribosome
YDR321W,asparagine catabolism,asparaginase activity
YJL191W,protein biosynthesis*,structural constituent of ribosome*
YOL098C,proteolysis and peptidolysis,metalloendopeptidase activity
YAR073W,biological process unknown,molecular function unknown*
YLR359W,'de novo' IMP biosynthesis*,adenylosuccinate lyase activity
YOR334W,mitochondrial magnesium ion transport*,magnesium ion transporter activity
YHR117W,biological process unknown,protein transporter activity
YGL223C,intra-Golgi transport*,molecular function unknown
YDR300C,proline biosynthesis,glutamate 5-kinase activity
YPL244C,UDP-galactose transport,UDP-galactose transporter activity
YDR156W,transcription from RNA polymerase I promoter,DNA-directed RNA polymerase activity
YIR026C,sporulation (sensu Fungi)*,protein tyrosine phosphatase activity
YIL157C,biological process unknown,molecular function unknown
YDR408C,'de novo' IMP biosynthesis*,phosphoribosylglycinamide formyltransferase activity
YGR191W,manganese ion transport*,L-histidine transporter activity
YLR332W,cell wall organization and biogenesis*,transmembrane receptor activity
YPL098C,biological process unknown,molecular function unknown
YMR222C,biological process unknown,serine hydrolase activity
YPR063C,biological process unknown,molecular function unknown
YBR082C,response to stress*,ubiquitin conjugating enzyme activity
YGR262C,protein amino acid phosphorylation*,protein serine/threonine kinase activity
YEL040W,cell wall organization and biogenesis,molecular function unknown
YLR405W,tRNA modification,tRNA dihydrouridine synthase activity
YML063W,protein biosynthesis,structural constituent of ribosome
YIL064W,biological process unknown,S-adenosylmethionine-dependent methyltransferase activity
YDR197W,protein biosynthesis,molecular function unknown
YPL215W,protein complex assembly,molecular function unknown
YPR100W,protein biosynthesis*,structural constituent of ribosome
YCR071C,protein biosynthesis,structural constituent of ribosome
YKL138C,protein biosynthesis,structural constituent of ribosome
YIL098C,protein complex assembly,molecular function unknown
YNL213C,mitochondrion organization and biogenesis,molecular function unknown
YLL009C,cytochrome c oxidase complex assembly*,thioredoxin peroxidase activity*
YER050C,protein biosynthesis,structural constituent of ribosome
YBL059C-A,biological process unknown,molecular function unknown
YNR037C,protein biosynthesis,structural constituent of ribosome
YBR122C,protein biosynthesis,structural constituent of ribosome
YGL018C,aerobic respiration*,chaperone binding
YCL057C-A,biological process unknown,molecular function unknown
YJR048W,electron transport,electron carrier activity
YKL170W,protein biosynthesis,structural constituent of ribosome
YDL205C,heme biosynthesis,hydroxymethylbilane synthase activity
YJR034W,cytochrome c oxidase complex assembly,molecular function unknown
YNL081C,protein biosynthesis,structural constituent of ribosome
YEL020W-A,mitochondrial inner membrane protein import,unfolded protein binding*
YML129C,aerobic respiration*,molecular function unknown
YDL045W-A,protein biosynthesis,structural constituent of ribosome
YHR059W,biological process unknown,molecular function unknown
YPR166C,protein biosynthesis,structural constituent of ribosome
YKL167C,protein biosynthesis,structural constituent of ribosome
YKL137W,biological process unknown,molecular function unknown
YER093C-A,biological process unknown,molecular function unknown
YGR169C,tRNA modification*,pseudouridylate synthase activity
YDR347W,protein biosynthesis,structural constituent of ribosome
YJL062W-A,biological process unknown,molecular function unknown
YHR147C,protein biosynthesis,structural constituent of ribosome
YJR101W,protein biosynthesis,structural constituent of ribosome
YDR322W,protein biosynthesis,structural constituent of ribosome
YBR185C,aerobic respiration*,molecular function unknown
YGL169W,aerobic respiration,molecular function unknown
YGR082W,mitochondrial matrix protein import,protein transporter activity
YKL192C,fatty acid biosynthesis,acyl carrier activity
YLR008C,mitochondrial matrix protein import,unfolded protein binding*
YIL134W,FAD transport,FAD transporter activity
YIR021W,Group I intron splicing,RNA binding*
YOR342C,biological process unknown,molecular function unknown
YJL208C,DNA recombination*,ribonuclease activity*
YHR109W,protein modification,[cytochrome c]-lysine N-methyltransferase activity
YML050W,biological process unknown,molecular function unknown
YBR251W,protein biosynthesis,structural constituent of ribosome
YDL202W,protein biosynthesis,structural constituent of ribosome
YLR312W-A,protein biosynthesis,structural constituent of ribosome
YGL068W,aerobic respiration*,molecular function unknown*
YPL132W,aerobic respiration*,copper ion binding
YNL252C,protein biosynthesis,structural constituent of ribosome
YMR157C,biological process unknown,molecular function unknown
YIL070C,aerobic respiration,molecular function unknown
YHR038W,protein biosynthesis,translation termination factor activity
YOR158W,protein biosynthesis,structural constituent of ribosome
YMR188C,protein biosynthesis*,structural constituent of ribosome
YNR022C,protein biosynthesis,structural constituent of ribosome
YBR282W,protein biosynthesis,structural constituent of ribosome
YJL104W,mitochondrial matrix protein import,protein binding*
YKR085C,protein biosynthesis*,structural constituent of ribosome
YMR158W,protein biosynthesis,structural constituent of ribosome
YER058W,cytochrome c oxidase complex assembly,molecular function unknown
YMR267W,aerobic respiration,inorganic diphosphatase activity
YGR076C,protein biosynthesis,structural constituent of ribosome
YKR006C,protein biosynthesis,structural constituent of ribosome
YKL087C,cytochrome c-heme linkage,holocytochrome-c synthase activity
YNR040W,biological process unknown,molecular function unknown
YLR390W,cell wall organization and biogenesis,molecular function unknown
YDR493W,biological process unknown,molecular function unknown
YNL306W,protein biosynthesis,structural constituent of ribosome
YBL090W,protein biosynthesis*,structural constituent of ribosome
YDR115W,protein biosynthesis*,structural constituent of ribosome
YKL003C,protein biosynthesis,structural constituent of ribosome
YBR268W,protein biosynthesis,structural constituent of ribosome
YPR067W,iron ion transport,molecular function unknown
YGR220C,protein biosynthesis*,structural constituent of ribosome*
YJL096W,protein biosynthesis,structural constituent of ribosome
YDR322C-A,ATP synthesis coupled proton transport,structural molecule activity
YBR146W,protein biosynthesis,structural constituent of ribosome
YJL046W,biological process unknown,molecular function unknown
YCR003W,protein biosynthesis,structural constituent of ribosome
YMR193W,protein biosynthesis,structural constituent of ribosome
YGR165W,protein biosynthesis*,structural constituent of ribosome
YLR239C,protein-lipoylation,ligase activity
YDR494W,protein biosynthesis*,structural constituent of ribosome
YGL129C,protein biosynthesis,structural constituent of ribosome
YOR354C,meiotic recombination,molecular function unknown
YDR175C,protein biosynthesis*,structural constituent of ribosome
YOR286W,biological process unknown,molecular function unknown
YMR012W,translational initiation*,molecular function unknown
YMR282C,protein biosynthesis,molecular function unknown
YGR283C,biological process unknown,molecular function unknown
YBR283C,cotranslational protein-membrane targeting,protein transporter activity
YPR133W-A,mitochondrial matrix protein import,protein transporter activity
YER082C,rRNA processing,snoRNA binding
YGR181W,mitochondrial inner membrane protein import,protein transporter activity
YBR120C,protein biosynthesis,molecular function unknown
YGL229C,G1/S transition of mitotic cell cycle,protein serine/threonine phosphatase activity
YPL013C,protein biosynthesis,structural constituent of ribosome
YDR529C,aerobic respiration*,ubiquinol-cytochrome-c reductase activity
YPR020W,ATP synthesis coupled proton transport,structural molecule activity
YLR295C,ATP synthesis coupled proton transport,"hydrogen-transporting ATP synthase activity, rotational mechanism"
YDR515W,copper ion homeostasis*,RNA binding
YMR244C-A,biological process unknown,molecular function unknown
YGR260W,nicotinamide mononucleotide transport,nicotinamide mononucleotide permease activity
YGR094W,valyl-tRNA aminoacylation,valine-tRNA ligase activity
YJR056C,biological process unknown,molecular function unknown
YPL059W,response to osmotic stress*,thiol-disulfide exchange intermediate activity
YIL039W,biological process unknown,molecular function unknown
YOR204W,translational initiation,RNA helicase activity
YPL128C,loss of chromatin silencing,DNA binding*
YHR188C,attachment of GPI anchor to protein,GPI-anchor transamidase activity
YKL068W,mRNA-nucleus export*,structural molecule activity
YCL045C,biological process unknown,molecular function unknown
YGR061C,'de novo' IMP biosynthesis*,phosphoribosylformylglycinamidine synthase activity
YDL145C,ER to Golgi transport*,molecular function unknown
YHL017W,biological process unknown,molecular function unknown
YLR060W,phenylalanyl-tRNA aminoacylation,phenylalanine-tRNA ligase activity
YER025W,translational initiation,translation initiation factor activity
YKL127W,glucose 1-phosphate utilization*,phosphoglucomutase activity
YDR101C,ribosomal large subunit biogenesis,molecular function unknown
YPL030W,biological process unknown,molecular function unknown
YLR432W,GTP biosynthesis,IMP dehydrogenase activity
YMR208W,ergosterol biosynthesis,mevalonate kinase activity
YNL112W,"mRNA catabolism, nonsense-mediated decay",RNA helicase activity
YJL080C,chromosome segregation*,RNA binding
YPR041W,regulation of translational initiation*,translation initiation factor activity*
YMR217W,GMP metabolism,GMP synthase (glutamine-hydrolyzing) activity
YNR038W,35S primary transcript processing*,ATP-dependent RNA helicase activity
YJR047C,translational initiation,translation initiation factor activity
YCR067C,ER to Golgi transport,molecular function unknown
YBL024W,tRNA methylation,tRNA (cytosine-5-)-methyltransferase activity
YDL064W,G2/M transition of mitotic cell cycle*,ubiquitin-like conjugating enzyme activity
YKR056W,tRNA modification,tRNA (m5U54) methyltransferase activity
YER110C,protein-nucleus import,protein carrier activity
YMR079W,sporulation (sensu Fungi)*,phosphatidylinositol transporter activity
YDL160C,deadenylylation-dependent decapping*,protein binding
YJL091C,GPI anchor biosynthesis,molecular function unknown
YDR091C,translational initiation*,ATPase activity*
YOR297C,protein-membrane targeting*,protein transporter activity
YDR020C,biological process unknown,molecular function unknown
YPL256C,regulation of cyclin dependent protein kinase activity*,cyclin-dependent protein kinase regulator activity
YHR098C,ER to Golgi transport,molecular function unknown
YLR196W,rRNA processing,molecular function unknown
YFR005C,"nuclear mRNA splicing, via spliceosome","RNA splicing factor activity, transesterification mechanism"
YGR007W,phosphatidylethanolamine biosynthesis,ethanolamine-phosphate cytidylyltransferase activity
YNL021W,"regulation of transcription, DNA-dependent*",histone deacetylase activity
YOR315W,biological process unknown,molecular function unknown
YLR084C,bud site selection,molecular function unknown
YMR189W,one-carbon compound metabolism*,glycine dehydrogenase (decarboxylating) activity
YER076C,biological process unknown,molecular function unknown
YGL083W,biological process unknown,molecular function unknown
YDL179W,cell cycle,cyclin-dependent protein kinase regulator activity
YBR083W,pseudohyphal growth*,specific RNA polymerase II transcription factor activity
Q0050,mRNA processing*,endonuclease activity*
YMR146C,translational initiation,translation initiation factor activity
YGR103W,processing of 20S pre-rRNA*,molecular function unknown
YPL243W,protein-ER targeting*,signal sequence binding
YKL046C,cell wall biosynthesis (sensu Fungi),molecular function unknown
YLR105C,tRNA splicing,tRNA-intron endonuclease activity
YNL290W,mismatch repair*,ATPase activity*
YDR087C,rRNA processing,molecular function unknown
YGL043W,meiotic recombination*,positive transcription elongation factor activity
YBR155W,protein folding,unfolded protein binding
YDR429C,translational initiation,translation initiation factor activity
YDR361C,biological process unknown,molecular function unknown
YGR001C,biological process unknown,methyltransferase activity
YPR048W,biological process unknown,molecular function unknown
YOL064C,sulfate assimilation*,"3'(2'),5'-bisphosphate nucleotidase activity"
YDL116W,mRNA-nucleus export*,structural molecule activity
YDL084W,"nuclear mRNA splicing, via spliceosome*",protein binding*
YGL238W,protein-nucleus export,importin-alpha export receptor activity
YLR277C,mRNA polyadenylylation*,RNA binding*
YLL004W,DNA replication initiation*,DNA replication origin binding
YGR264C,methionyl-tRNA aminoacylation,methionine-tRNA ligase activity
YHL003C,replicative cell aging*,sphingosine N-acyltransferase activity
YGR117C,biological process unknown,molecular function unknown
YMR013C,protein amino acid glycosylation*,dolichol kinase activity
YIL035C,protein amino acid phosphorylation*,protein kinase CK2 activity
YPR139C,protein-vacuolar targeting,molecular function unknown
YIL009W,lipid metabolism*,long-chain-fatty-acid-CoA ligase activity
YPL254W,transcription from RNA polymerase II promoter*,transcription cofactor activity
YLL006W,mitochondrion organization and biogenesis*,molecular function unknown
YOR288C,protein folding,protein disulfide isomerase activity
YDR331W,attachment of GPI anchor to protein,GPI-anchor transamidase activity
YPR042C,"mRNA catabolism, deadenylylation-dependent decay",mRNA binding
YKL056C,biological process unknown,molecular function unknown
YGR187C,biological process unknown,molecular function unknown
YML130C,protein folding*,electron carrier activity
YNL113W,transcription from RNA polymerase I promoter*,DNA-directed RNA polymerase activity
YOR295W,transcription from RNA polymerase I promoter,RNA polymerase I transcription factor activity*
YGR081C,DNA metabolism,molecular function unknown
YAL059W,cell wall organization and biogenesis*,molecular function unknown
YFR041C,biological process unknown,molecular function unknown
YBR022W,tRNA splicing,phosphoric monoester hydrolase activity
YBR171W,filamentous growth*,protein transporter activity
YMR260C,translational initiation,translation initiation factor activity
YIL127C,biological process unknown,molecular function unknown
YIL096C,biological process unknown,molecular function unknown
YGL108C,biological process unknown,molecular function unknown
YBR130C,intracellular mRNA localization*,mRNA binding
YBR141C,biological process unknown,molecular function unknown
YPL266W,rRNA modification*,"rRNA (adenine-N6,N6-)-dimethyltransferase activity"
YCL031C,35S primary transcript processing*,molecular function unknown
YNL182C,35S primary transcript processing*,molecular function unknown
YLL011W,rRNA modification*,snoRNA binding
YDR021W,35S primary transcript processing,ATP-dependent RNA helicase activity
YLR276C,35S primary transcript processing*,ATP-dependent RNA helicase activity
YPL227C,protein amino acid N-linked glycosylation,dolichyl-phosphate beta-glucosyltransferase activity
YDL208W,rRNA modification*,RNA binding
YJL122W,biological process unknown,molecular function unknown
YOR004W,rRNA processing*,molecular function unknown
YJR003C,biological process unknown,molecular function unknown
YJL010C,rRNA processing,RNA binding
YJL109C,processing of 20S pre-rRNA,snoRNA binding
YJR041C,ribosome biogenesis*,molecular function unknown
YLR065C,biological process unknown,molecular function unknown
YLR222C,processing of 20S pre-rRNA,snoRNA binding
YNL010W,biological process unknown,molecular function unknown
YDR454C,GMP metabolism,guanylate kinase activity
YLR435W,processing of 20S pre-rRNA,molecular function unknown
YKR074W,biological process unknown,molecular function unknown
YBR154C,transcription from RNA polymerase II promoter*,DNA-directed RNA polymerase activity
YBR087W,mismatch repair*,DNA clamp loader activity
YHR052W,ribosomal large subunit biogenesis*,"protein binding, bridging"
YGR208W,serine family amino acid biosynthesis,phosphoserine phosphatase activity
YJR054W,biological process unknown,molecular function unknown
YOL031C,"SRP-dependent cotranslational protein-membrane targeting, translocation",molecular function unknown
YDL219W,translation*,"hydrolase activity, acting on ester bonds"
YDR045C,transcription from RNA polymerase III promoter,DNA-directed RNA polymerase activity
YLR022C,35S primary transcript processing*,molecular function unknown
YIL110W,biological process unknown,S-adenosylmethionine-dependent methyltransferase activity
YGL246C,processing of 27S pre-rRNA*,enzyme regulator activity
YER007C-A,biological process unknown,RNA binding
YOR046C,mRNA-nucleus export,RNA helicase activity
YJL124C,rRNA processing*,RNA binding*
YBR191W,protein biosynthesis*,structural constituent of ribosome
YLR262C-A,biological process unknown,molecular function unknown
YBL092W,protein biosynthesis,structural constituent of ribosome
YKL160W,cell growth,molecular function unknown
YBR210W,axial bud site selection,molecular function unknown
YJR067C,biological process unknown,molecular function unknown
YOR369C,protein biosynthesis,structural constituent of ribosome
YNL302C,protein biosynthesis,structural constituent of ribosome
YOL121C,protein biosynthesis,structural constituent of ribosome
YOR293W,protein biosynthesis,structural constituent of ribosome
YER048W-A,biological process unknown,molecular function unknown
YDL092W,protein-ER targeting*,signal sequence binding
YIL016W,protein folding*,chaperone regulator activity
YIL052C,protein biosynthesis*,structural constituent of ribosome
YBR096W,biological process unknown,molecular function unknown
YER146W,"nuclear mRNA splicing, via spliceosome*",RNA binding
YHR144C,pyrimidine nucleotide metabolism,dCMP deaminase activity
YPL237W,translational initiation,translation initiation factor activity
YMR142C,protein biosynthesis,structural constituent of ribosome
YNL178W,protein biosynthesis*,structural constituent of ribosome
YLL050C,actin filament organization*,protein binding
YLR243W,biological process unknown,signal sequence binding
YPL144W,biological process unknown,molecular function unknown
YJR063W,transcription from RNA polymerase I promoter,DNA-directed RNA polymerase activity
YBR143C,cytokinesis*,"translation release factor activity, codon specific"
YGR020C,vacuolar acidification,"hydrogen-transporting ATPase activity, rotational mechanism"
YPR043W,protein biosynthesis,structural constituent of ribosome
YML024W,protein biosynthesis*,structural constituent of ribosome
YML073C,protein biosynthesis*,structural constituent of ribosome*
YPL249C-A,protein biosynthesis,structural constituent of ribosome*
YOR234C,protein biosynthesis,structural constituent of ribosome
YKR057W,protein biosynthesis,structural constituent of ribosome
YJL136C,protein biosynthesis,structural constituent of ribosome
YDR302W,GPI anchor biosynthesis,phosphoethanolamine N-methyltransferase activity
YKL156W,protein biosynthesis,structural constituent of ribosome
YML096W,biological process unknown,molecular function unknown
YDL158C,NA,NA
YLR036C,biological process unknown,molecular function unknown
YEL048C,biological process unknown,molecular function unknown
YLR104W,biological process unknown,molecular function unknown
YMR223W,protein deubiquitination,ubiquitin-specific protease activity
YMR298W,ceramide biosynthesis,sphingosine N-acyltransferase activity
Q0160,intron homing,endonuclease activity
YJL183W,protein amino acid glycosylation,"alpha-1,6-mannosyltransferase activity"
YBR085W,anaerobic respiration,ATP:ADP antiporter activity
YEL002C,protein amino acid N-linked glycosylation*,dolichyl-diphosphooligosaccharide-protein glycotransferase activity
YOL056W,biological process unknown,molecular function unknown*
YNR054C,biological process unknown,transcription regulator activity
YOR095C,pentose-phosphate shunt,ribose-5-phosphate isomerase activity
YLR043C,ER to Golgi transport*,thiol-disulfide exchange intermediate activity
YJR069C,DNA repair,molecular function unknown
YIL044C,ER to Golgi transport*,ARF GTPase activator activity
YDR382W,translational elongation*,structural constituent of ribosome
YER009W,protein-nucleus import*,Ran GTPase binding
YHR181W,biological process unknown,molecular function unknown
YLR064W,biological process unknown,molecular function unknown
YDR410C,peptide pheromone maturation,protein-S-isoprenylcysteine O-methyltransferase activity
YJR118C,mitochondrial genome maintenance*,molecular function unknown
YIL049W,pseudohyphal growth,molecular function unknown
YHR128W,pyrimidine salvage,uracil phosphoribosyltransferase activity
YDR489W,DNA-dependent DNA replication,DNA binding
YCR027C,L-arginine transport*,GTPase activity
YHR013C,protein amino acid acetylation,peptide alpha-N-acetyltransferase activity
YPL142C,NA,NA
YKR065C,biological process unknown,molecular function unknown
YJR044C,late endosome to vacuole transport,molecular function unknown
